Toode;Maht_ml;Protsent;Etanool;Etanool/€;Pood;Hind;Uuendatud;Link
Kpn.vein Comte Dumas Bordeaux 12%vol 0,75l;750.0;12.0;90.0;15.025;Rimi;5.99;2025-11-12 08:12:00;https://ostukorvid.ee/tooted/28d1be3f-03e3-4b4d-8d8f-b52b042efa1c/kpnvein-comte-dumas-bordeaux-12percentvol-075l
Dreamer Late Harvest Chardonnay vein 12%vol 750ml;750.0;12.0;90.0;15.025;Prisma;5.99;2025-04-16 15:16:00;https://ostukorvid.ee/tooted/94b8b154-eba1-4ecd-92bc-493a7d587730/dreamer-late-harvest-chardonnay-vein-12percentvol-750ml
Wõlu Glögi hõõgvein, aromatiseeritud puuviljavein 14%vol 750ml;750.0;14.0;105.0;15.021;Prisma;6.99;2024-12-17 15:15:00;https://ostukorvid.ee/tooted/103debac-bb9a-4d62-beb4-a0213e6387fb/wolu-glogi-hoogvein-aromatiseeritud-puuviljavein-14percentvol-750ml
Wõlu Glögi hõõgvein, aromatiseeritud puuviljavein 14%vol 750ml;750.0;14.0;105.0;15.021;Selver;6.99;2025-01-16 15:15:00;https://ostukorvid.ee/tooted/103debac-bb9a-4d62-beb4-a0213e6387fb/wolu-glogi-hoogvein-aromatiseeritud-puuviljavein-14percentvol-750ml
Kaitstud geograafilise tähisega vein Stile Naturale Rosso Organic 13,5%vol 0,75l;1000.0;13.5;135.0;15.017;Rimi;8.99;2025-11-12 08:10:00;https://ostukorvid.ee/tooted/b728684f-667e-4806-b259-45e0a954d3da/kaitstud-geograafilise-tahisega-vein-stile-naturale-rosso-organic-135percentvol-075l
Inycon Appassimento Shiraz KGT vein 13,5%vol 3L;3000.0;13.5;405.0;15.006;Maxima;26.99;2025-11-12 06:13:00;https://ostukorvid.ee/tooted/9158f04d-b4aa-486e-8abf-ddcfdec2be3a/inycon-appassimento-shiraz-kgt-vein-135percentvol-3l
GT vein BARON ROSEN Al.V.W. 11.5% 750ml;750.0;11.5;86.25;14.896;Maxima;5.79;2025-11-12 05:25:00;https://ostukorvid.ee/tooted/6383b7de-7b6b-4dbc-94e8-f998cf1c6000/gt-vein-baron-rosen-alvw-115percent-750ml
Santa Ana Caracter Cabernet Malbec vein 12,5%vol 750ml;750.0;12.5;93.75;14.834;Kaupmees;6.32;2025-11-12 06:13:00;https://ostukorvid.ee/tooted/238c24fa-ad79-4b40-b35e-9b099edad235/santa-ana-caracter-cabernet-malbec-vein-125percentvol-750ml
Punane vein Periquita Reserva 2017 13% 0,75 L;750.0;13.0;97.5;14.795;Sumena;6.59;2025-11-12 07:20:00;https://ostukorvid.ee/tooted/e37c2bb2-15c2-4922-9315-fb2eb691d9df/punane-vein-periquita-reserva-2017-13percent-075-l
La Finca Malbec GT vein 13%vol 750ml;750.0;13.0;97.5;14.795;Prisma;6.59;2025-04-16 15:22:00;https://ostukorvid.ee/tooted/7834fd82-bf9f-4b38-8fe8-2e4217e2e06d/la-finca-malbec-gt-vein-13percentvol-750ml
Aromatiseeritud puuviljavein Tulipunane Talleke 11%vol 0,75l;750.0;11.0;82.5;14.758;Rimi;5.59;2025-11-12 08:14:00;https://ostukorvid.ee/tooted/b6ce854a-1c5f-47e9-8600-3bdec32b9cc5/aromatiseeritud-puuviljavein-tulipunane-talleke-11percentvol-075l
